external-hard-drive,cpu,wired-network-card,webcam,internal-hard-drive,case-accessory,memory,case,headphones,keyboard,fan-controller,optical-drive,os,sound-card,mouse,wireless-network-card,thermal-paste,speakers,power-supply,video-card,cpu-cooler,ups,motherboard,case-fan,monitor
,Intel Core i7-3770T,,,Seagate Barracuda Compute,,Corsair Vengeance RGB Pro 32 GB,Asus ROG Strix Helios Gundam Edition,Sennheiser HD 518,SolidTek KB-730BU,,,,,Cooler Master CM Storm Sentinel Advance II,,,,SeaSonic SSP-300SUG,Gigabyte AORUS,ARCTIC Freezer 13,,Asus B85M-G,NoiseBlocker ELoop B,Dell U4021QW
,Intel Celeron G3900,,,Inland Platinum,,Corsair Vengeance RGB Pro 32 GB,Fractal Design Define XL R2,Sennheiser HD700,Logitech EX 100 Cordless Desktop,,,,,SteelSeries Diablo III,,,,Thermaltake Thermaltake TP-750M,Inno3D AX Gaming X3W,Cooler Master Seidon 120V,,Asus ProArt Z690-CREATOR WIFI,Corsair AF140 (2018),MSI Optix G271CP
,Intel Core i5-9400,,,Corsair MP400,,Kingston FURY Beast 8 GB,SSUPD Meshlicious,Sennheiser HD 800,Lenovo Preferred Pro USB Keyboard,,,,,SteelSeries Ikari,,,,FSP Group Hydro G PRO ATX3.0(PCIe5.0),Asus DUAL OC,upHere C92,,ASRock AB350 Pro4,Scythe Kaze Flex Square,Philips 241E1SCA/00
,Intel Celeron G5905T,,,Sabrent Rocket Q,,Crucial Ballistix 16 GB,MSI MPG Sekira 500P,Sony MW600,Logitech K310,,,,,SteelSeries 62040,,,,SeaSonic PRIME Ultra Platinum 1000,EVGA SC GAMING ACX 2.0,ID-COOLING SE-224-XT,,MSI Z790 GAMING PRO WIFI,CRYORIG QF Performance,LG 32MN500M-B
,AMD Opteron 6328,,,Western Digital Western Digital PC SN730 NVMe M.2 2280 256GB PCIe Gen3 x4 NVMe v1.3 3D NAND Internal Solid State Drive (SSD) SDBPNTY-256G,,TEAMGROUP T-Create Expert 32 GB,Cooler Master MasterCase Pro 5,Sony MDR-110LP,Filco Majestouch-2,,,,,SteelSeries 62024,,,,Corsair CX750 (2017),Zotac Twin Edge,Deepcool CASTLE 360EX RGB,,Gigabyte Z690 AORUS XTREME,ARCTIC BioniX P140,Monoprice Dark Matter
,AMD Athlon II X4 635,,,Mushkin Helix-L,,TEAMGROUP T-Force Delta RGB 32 GB,Aerocool Bolt Mini Glass,Sony MDR-RF810RK,Filco Majestouch-2,,,,,SteelSeries 62025,,,,Cougar VTE X2,MSI VENTUS 3X OC,ID-COOLING SE-224-XT ARGB DUET,,ASRock TRX40 Creator,Phanteks F140SP,LG 24ML44B-B
,Intel Xeon E5-2620,,,Gigabyte AORUS Gen4 5000E,,Corsair Dominator Platinum RGB 32 GB,DIYPC F2,Sony MDR-RF985RK,Adesso Antimicrobial Waterproof Flex Keyboard,,,,,SteelSeries Sensei RAW,,,,Super Flower Leadex V Pro,MSI Radeon RX 5700 XT 8G,Cooler Master Hyper TX3,,MSI B250M BAZOOKA,Phanteks F140SP,Acer EG241Y Pbmiipx
,Intel Xeon E3-1220 V6,,,Samsung 860 Pro,,G.Skill Ripjaws V 16 GB,Antec TORQUE,Sony MDR-V6,Corsair K70 LUX,,,,,Microsoft PL2 Wedge Touch Mouse,,,,Thermaltake TR2 S,XFX GTS,ARCTIC Liquid Freezer II 420 RGB,,Asus PRIME B660M-A AC D4,Phanteks F200SP,Dell S3222HG
,Intel Core 2 Duo E4500,,,Toshiba MG04ACA400N,,Corsair Vengeance RGB 192 GB,Cooler Master MasterBox NR200P,Sony MDR-ZX600/WHI,Zalman ZM-K300M,,,,,Cooler Master Recon,,,,Thermaltake Smart BX1 RGB 650,EVGA XC GAMING,Deepcool GAMMAXX GT V2,,Asus TUF GAMING B560M-PLUS,Thermaltake Riing Plus,Lenovo 66A1GCCBUS
,Intel Core i7-870,,,Western Digital Black,,Corsair Vengeance LP 32 GB,Mars Gaming MCV4,Sony MDRAS200B,Cooler Master CK530,,,,,Logitech T400,,,,Super Flower LEADEX VII XG,Zotac Twin Edge,Silverstone PF360-ARGB,,Asus M5A97 R2.0,ARCTIC P8 Silent,MSI Oculux NXG253R
